p1, p2, Re, Im
0, 0.0, 0.110, -0.101
0, 0.1, 0.115, -0.102
0, 0.2, 0.119, -0.103
0, 0.3, 0.124, -0.104
0, 0.4, 0.130, -0.105
0, 0.5, 0.138, -0.104
0, 0.6, 0.148, -0.102
0, 0.7, 0.166, -0.094
0, 0.8, 0.212, -0.066
0, 0.9, 0.43, 0.01
1, 0.0, 0.2929, -0.0978
1, 0.1, 0.3034, -0.0988
1, 0.2, 0.3152, -0.0999
1, 0.3, 0.3287, -0.1011
1, 0.4, 0.3444, -0.1023
1, 0.5, 0.3631, -0.1036
1, 0.6, 0.38590, -0.10483
1, 0.7, 0.41506, -0.10594
1, 0.8, 0.45509, -0.10643
1, 0.9, 0.51863, -0.10438
2, 0.0, 0.48364, -0.09677
2, 0.1, 0.50080, -0.09785
2, 0.2, 0.52018, -0.09901
2, 0.3, 0.54234, -0.10025
2, 0.4, 0.56813, -0.10155
2, 0.5, 0.59878, -0.10291
2, 0.6, 0.63633, -0.10428
2, 0.7, 0.68437, -0.10551
2, 0.8, 0.750420, -0.106156
2, 0.9, 0.85544, -0.10428
3, 0.0, 0.67537, -0.09650
3, 0.1, 0.69927, -0.09760
3, 0.2, 0.72628, -0.09877
3, 0.3, 0.75718, -0.10001
3, 0.4, 0.79314, -0.10134
3, 0.5, 0.835896, -0.102718
3, 0.6, 0.888282, -0.104109
3, 0.7, 0.955333, -0.105368
3, 0.8, 1.047545, -0.106049
3, 0.9, 1.194230, -0.104227
