P, potential, n_extr, wkb_re, td_re, wkb_im, td_im
0,     +,  1, 0.753, -,      -0.0901,  -
0.1,   +,  1, 0.776, 0.775,  -0.0888,  -0.0885
0.2,   +,  2, 0.788, stable, -0.0875,  stable
0.3,   +,  2, 0.800, stable, -0.0870,  stable
0.4,   +,  2, 0.810, 0.816,  -0.0864,  -0.0490
0.5,   +,  2, 0.823, 0.829,  -0.0852,  -0.0340
0.6,   -,  1, 0.845, 0.856,  -0.0844,  -0.0834
0.7,   -,  1, 0.840, 0.851,  -0.0830,  -0.0011
0.8,   -,  1, 0.833, 0,      -0.0811,  +0.0090
0.9,   -,  1, 0.831, 0,      -0.0791,  0.0211
1.0,   -,  1, 0.825, 0,      -0.0772,  0.0345

